city,lat,lon,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,clouds,weather,sunrise,sunset,timestamp
Windhoek,-22.5594,17.0832,21.27,20.73,21.27,21.27,1014.0,49.0,2.57,73.0,broken clouds,1767845697.0,1767894070.0,1767826838.0
Swakopmund,-22.6833,14.5333,18.88,19.2,18.88,18.88,1014.0,91.0,2.24,11.0,few clouds,1767846295.0,1767894696.0,1767826936.0
Walvis Bay,-22.9575,14.5053,18.84,19.1,18.84,18.84,1014.0,89.0,3.1,30.0,scattered clouds,1767846269.0,1767894736.0,1767826937.0
Arandis,-22.4167,14.9667,20.06,19.87,20.06,20.06,1014.0,67.0,1.17,2.0,clear sky,1767846222.0,1767894561.0,1767826937.0
Usakos,-22.0,15.6,23.05,22.32,23.05,23.05,1015.0,35.0,2.22,5.0,clear sky,1767846120.0,1767894359.0,1767826937.0
Omaruru,-21.4333,15.9333,24.2,23.49,24.2,24.2,1014.0,31.0,2.37,50.0,scattered clouds,1767846106.0,1767894213.0,1767826937.0
Henties Bay,-22.116,14.2845,19.09,19.4,19.09,19.09,1015.0,90.0,2.01,18.0,few clouds,1767846422.0,1767894689.0,1767826937.0
Oshakati,-17.7833,15.6833,26.63,26.63,26.63,26.63,1011.0,29.0,8.23,48.0,scattered clouds,1767846581.0,1767893858.0,1767826937.0
Ongwediva,-17.7833,15.7667,26.67,26.18,26.67,26.67,1011.0,29.0,8.27,44.0,scattered clouds,1767846561.0,1767893838.0,1767826937.0
Ompundja,-17.9115,15.7014,26.95,26.31,26.95,26.95,1011.0,28.0,7.84,50.0,scattered clouds,1767846563.0,1767893868.0,1767826937.0
Eenhana,-17.4667,16.3333,24.45,23.73,24.45,24.45,1011.0,30.0,3.44,20.0,few clouds,1767846460.0,1767893667.0,1767826937.0
Helao Nafidi,-17.4247,15.8925,25.9,25.38,25.9,25.9,1011.0,32.0,6.38,45.0,scattered clouds,1767846570.0,1767893768.0,1767826937.0
Tsandi,-17.7463,14.8866,26.13,26.13,26.13,26.13,1012.0,34.0,5.44,68.0,broken clouds,1767846776.0,1767894045.0,1767826937.0
Okahao,-17.885,15.0667,25.94,25.43,25.94,25.94,1012.0,32.0,5.85,49.0,scattered clouds,1767846718.0,1767894017.0,1767826937.0
Tsumeb,-19.2333,17.7167,25.87,25.5,25.87,25.87,1011.0,38.0,5.35,74.0,broken clouds,1767845931.0,1767893532.0,1767826938.0
Oniipa,-17.9141,16.0424,26.99,26.27,26.99,26.99,1011.0,26.0,8.74,38.0,scattered clouds,1767846480.0,1767893786.0,1767826938.0
Otjiwarongo,-20.4637,16.6477,22.69,21.8,22.69,22.69,1014.0,30.0,3.87,47.0,scattered clouds,1767846047.0,1767893929.0,1767826938.0
Grootfontein,-19.5667,18.1167,25.61,25.27,25.61,25.61,1011.0,40.0,1.63,92.0,overcast clouds,1767845797.0,1767893474.0,1767826938.0
Okakarara,-20.5833,17.4333,25.01,24.32,25.01,25.01,1012.0,29.0,5.53,71.0,broken clouds,1767845845.0,1767893754.0,1767826879.0
Opuwo,-18.0607,13.84,22.43,21.83,22.43,22.43,1015.0,42.0,2.61,76.0,broken clouds,1767846993.0,1767894331.0,1767826938.0
Khorixas,-20.3667,14.9667,21.51,20.71,21.51,21.51,1015.0,38.0,4.21,17.0,few clouds,1767846462.0,1767894321.0,1767826938.0
Katima Mulilo,-17.5,24.2667,22.59,22.39,22.59,22.59,1010.0,57.0,1.43,58.0,broken clouds,1767844552.0,1767891766.0,1767826938.0
Kongola,9.0665,-10.1959,23.0,23.18,23.0,23.0,1014.0,70.0,1.15,98.0,overcast clouds,1767769093.0,1767810922.0,1767826938.0
Rundu,-17.9333,19.7667,24.6,24.06,24.6,24.6,1010.0,36.0,2.22,99.0,overcast clouds,1767845584.0,1767892895.0,1767826938.0
Otjiwarongo,-20.4637,16.6477,22.69,21.8,22.69,22.69,1014.0,30.0,3.87,47.0,scattered clouds,1767846047.0,1767893929.0,1767826938.0
Mariental,-24.6333,17.9667,28.42,27.12,28.42,28.42,1011.0,23.0,5.43,10.0,clear sky,1767845234.0,1767894109.0,1767826938.0
Rehoboth,-23.3167,17.0833,24.71,24.2,24.71,24.71,1013.0,37.0,4.47,71.0,broken clouds,1767845607.0,1767894160.0,1767826938.0
Gibeon,37.9724,-76.6197,10.37,9.21,8.66,12.08,1013.0,67.0,2.05,19.0,few clouds,1767788559.0,1767823348.0,1767826938.0
Keetmanshoop,-26.5833,18.1333,26.84,26.18,26.84,26.84,1012.0,26.0,3.8,0.0,clear sky,1767844949.0,1767894314.0,1767826938.0
Lüderitz,-26.6481,15.1594,18.76,18.65,18.76,18.76,1013.0,75.0,5.65,0.0,clear sky,1767845655.0,1767895036.0,1767826939.0
Oranjemund,-28.55,16.4333,16.66,16.71,16.66,16.66,1015.0,89.0,2.13,1.0,clear sky,1767845100.0,1767894979.0,1767826939.0
Karasburg,-28.0167,18.75,23.26,22.53,23.26,23.26,1013.0,34.0,4.51,0.0,clear sky,1767844614.0,1767894352.0,1767826939.0
Gobabis,-22.45,18.9667,25.0,24.65,25.0,25.0,1012.0,42.0,1.78,24.0,few clouds,1767845258.0,1767893605.0,1767826939.0
Leonardville,39.3644,-96.8589,15.24,13.73,14.2,16.34,1005.0,35.0,4.14,53.0,broken clouds,1767793647.0,1767827977.0,1767826939.0
Witvlei,-22.4,18.4833,25.67,25.36,25.67,25.67,1012.0,41.0,3.69,50.0,scattered clouds,1767845380.0,1767893715.0,1767826939.0
Windhoek,-22.5594,17.0832,19.68,19.22,19.68,19.68,1014.0,58.0,2.47,67.0,broken clouds,1767845697.0,1767894070.0,1767830341.0
Swakopmund,-22.6833,14.5333,18.88,19.2,18.88,18.88,1014.0,91.0,1.34,10.0,clear sky,1767846295.0,1767894696.0,1767830535.0
Walvis Bay,-22.9575,14.5053,18.68,18.95,18.68,18.68,1014.0,90.0,2.4,27.0,scattered clouds,1767846269.0,1767894736.0,1767830535.0
Arandis,-22.4167,14.9667,20.09,19.88,20.09,20.09,1014.0,66.0,1.36,3.0,clear sky,1767846222.0,1767894561.0,1767830535.0
Usakos,-22.0,15.6,22.78,22.03,22.78,22.78,1014.0,35.0,1.52,6.0,clear sky,1767846120.0,1767894359.0,1767830535.0
Omaruru,-21.4333,15.9333,23.52,22.71,23.52,23.52,1014.0,30.0,2.86,53.0,broken clouds,1767846106.0,1767894213.0,1767830535.0
Henties Bay,-22.116,14.2845,18.95,19.25,18.95,18.95,1014.0,90.0,1.54,17.0,few clouds,1767846422.0,1767894689.0,1767830535.0
Oshakati,-17.7833,15.6833,26.23,26.23,26.23,26.23,1011.0,29.0,6.53,46.0,scattered clouds,1767846581.0,1767893858.0,1767830536.0
Ongwediva,-17.7833,15.7667,26.27,26.27,26.27,26.27,1011.0,29.0,6.41,44.0,scattered clouds,1767846561.0,1767893838.0,1767830536.0
Ompundja,-17.9115,15.7014,26.37,26.37,26.37,26.37,1011.0,28.0,7.14,48.0,scattered clouds,1767846563.0,1767893868.0,1767830536.0
Eenhana,-17.4667,16.3333,24.68,24.01,24.68,24.68,1011.0,31.0,4.98,18.0,few clouds,1767846460.0,1767893667.0,1767830536.0
Helao Nafidi,-17.4247,15.8925,25.24,24.68,25.24,25.24,1011.0,33.0,6.11,43.0,scattered clouds,1767846570.0,1767893768.0,1767830536.0
Tsandi,-17.7463,14.8866,25.26,24.73,25.26,25.26,1012.0,34.0,4.66,72.0,broken clouds,1767846776.0,1767894045.0,1767830536.0
Okahao,-17.885,15.0667,25.26,24.7,25.26,25.26,1012.0,33.0,5.03,57.0,broken clouds,1767846718.0,1767894017.0,1767830536.0
Tsumeb,-19.2333,17.7167,25.05,24.66,25.05,25.05,1011.0,40.0,3.77,63.0,broken clouds,1767845931.0,1767893532.0,1767830536.0
Oniipa,-17.9141,16.0424,26.1,26.1,26.1,26.1,1011.0,28.0,7.93,43.0,scattered clouds,1767846480.0,1767893786.0,1767830536.0
Otjiwarongo,-20.4637,16.6477,22.5,21.67,22.5,22.5,1013.0,33.0,4.55,46.0,scattered clouds,1767846047.0,1767893929.0,1767830536.0
Grootfontein,-19.5667,18.1167,24.84,24.48,24.84,24.84,1011.0,42.0,1.54,85.0,overcast clouds,1767845797.0,1767893474.0,1767830536.0
Okakarara,-20.5833,17.4333,24.32,23.62,24.32,24.32,1012.0,31.0,5.07,67.0,broken clouds,1767845845.0,1767893754.0,1767830536.0
Opuwo,-18.0607,13.84,21.75,21.13,21.75,21.75,1014.0,44.0,2.72,78.0,broken clouds,1767846993.0,1767894331.0,1767830536.0
Khorixas,-20.3667,14.9667,20.98,20.18,20.98,20.98,1014.0,40.0,3.47,17.0,few clouds,1767846462.0,1767894321.0,1767830536.0
Katima Mulilo,-17.5,24.2667,22.26,22.11,22.26,22.26,1010.0,60.0,1.44,52.0,broken clouds,1767844552.0,1767891766.0,1767830536.0
Kongola,9.0665,-10.1959,22.96,23.14,22.96,22.96,1014.0,70.0,0.43,96.0,overcast clouds,1767855512.0,1767897353.0,1767830537.0
Rundu,-17.9333,19.7667,24.13,23.72,24.13,24.13,1009.0,43.0,1.83,99.0,overcast clouds,1767845584.0,1767892895.0,1767830537.0
Otjiwarongo,-20.4637,16.6477,22.5,21.67,22.5,22.5,1013.0,33.0,4.55,46.0,scattered clouds,1767846047.0,1767893929.0,1767830536.0
Mariental,-24.6333,17.9667,27.78,26.68,27.78,27.78,1011.0,23.0,5.93,10.0,clear sky,1767845234.0,1767894109.0,1767830537.0
Rehoboth,-23.3167,17.0833,24.11,23.59,24.11,24.11,1013.0,39.0,3.54,60.0,broken clouds,1767845607.0,1767894160.0,1767830537.0
Gibeon,37.9724,-76.6197,7.67,6.4,7.55,9.86,1015.0,74.0,2.09,16.0,few clouds,1767788559.0,1767823348.0,1767830537.0
Keetmanshoop,-26.5833,18.1333,25.78,25.2,25.78,25.78,1012.0,30.0,4.39,0.0,clear sky,1767844949.0,1767894314.0,1767830537.0
Lüderitz,-26.6481,15.1594,18.47,18.3,18.47,18.47,1013.0,74.0,4.46,0.0,clear sky,1767845655.0,1767895036.0,1767830537.0
Oranjemund,-28.55,16.4333,16.64,16.68,16.64,16.64,1015.0,89.0,2.51,1.0,clear sky,1767845100.0,1767894979.0,1767830537.0
Karasburg,-28.0167,18.75,22.5,21.75,22.5,22.5,1013.0,36.0,5.32,0.0,clear sky,1767844614.0,1767894352.0,1767830537.0
Gobabis,-22.45,18.9667,24.53,24.16,24.53,24.53,1011.0,43.0,1.79,23.0,few clouds,1767845258.0,1767893605.0,1767830537.0
Leonardville,39.3644,-96.8589,13.5,11.98,11.98,13.72,1005.0,41.0,3.82,50.0,scattered clouds,1767793647.0,1767827977.0,1767830537.0
Witvlei,-22.4,18.4833,25.27,24.9,25.27,25.27,1011.0,40.0,3.31,51.0,broken clouds,1767845380.0,1767893715.0,1767830537.0
939,,,,,,,,,,,,,,
Windhoek,-22.5594,17.0832,21.35,20.79,21.35,21.35,1014.0,48.0,2.68,10.0,clear sky,1767845697.0,1767894070.0,1767833868.0
Swakopmund,-22.6833,14.5333,19.43,19.8,19.43,19.43,1013.0,91.0,1.34,7.0,clear sky,1767846295.0,1767894696.0,1767834143.0
Walvis Bay,-22.9575,14.5053,18.92,19.17,18.92,18.92,1013.0,88.0,1.81,0.0,clear sky,1767846269.0,1767894736.0,1767834143.0
Arandis,-22.4167,14.9667,19.76,19.57,19.76,19.76,1013.0,68.0,1.33,6.0,clear sky,1767846222.0,1767894561.0,1767834143.0
Usakos,-22.0,15.6,22.79,22.06,22.79,22.79,1014.0,36.0,0.91,35.0,scattered clouds,1767846120.0,1767894359.0,1767834143.0
Omaruru,-21.4333,15.9333,22.88,22.06,22.88,22.88,1013.0,32.0,1.77,49.0,scattered clouds,1767846106.0,1767894213.0,1767834143.0
Henties Bay,-22.116,14.2845,18.97,19.25,18.97,18.97,1013.0,89.0,2.17,18.0,few clouds,1767846422.0,1767894689.0,1767834144.0
Oshakati,-17.7833,15.6833,25.46,24.84,25.46,25.46,1011.0,30.0,6.13,100.0,overcast clouds,1767846581.0,1767893858.0,1767834144.0
Ongwediva,-17.7833,15.7667,25.49,24.85,25.49,25.49,1011.0,29.0,6.09,98.0,overcast clouds,1767846561.0,1767893838.0,1767834144.0
Ompundja,-17.9115,15.7014,25.39,24.79,25.39,25.39,1011.0,31.0,6.24,100.0,overcast clouds,1767846563.0,1767893868.0,1767834144.0
Eenhana,-17.4667,16.3333,23.56,22.78,23.56,23.56,1011.0,31.0,4.12,63.0,broken clouds,1767846460.0,1767893667.0,1767834144.0
Helao Nafidi,-17.4247,15.8925,24.48,23.82,24.48,24.48,1011.0,32.0,4.58,17.0,few clouds,1767846570.0,1767893768.0,1767834144.0
Tsandi,-17.7463,14.8866,24.49,23.91,24.49,24.49,1012.0,35.0,4.42,55.0,broken clouds,1767846776.0,1767894045.0,1767834144.0
Okahao,-17.885,15.0667,24.51,23.9,24.51,24.51,1012.0,34.0,4.95,96.0,overcast clouds,1767846718.0,1767894017.0,1767834144.0
Tsumeb,-19.2333,17.7167,25.44,25.08,25.44,25.44,1010.0,40.0,3.34,54.0,broken clouds,1767845931.0,1767893532.0,1767834144.0
Oniipa,-17.9141,16.0424,25.13,24.48,25.13,25.13,1011.0,30.0,6.15,88.0,overcast clouds,1767846480.0,1767893786.0,1767834144.0
Otjiwarongo,-20.4637,16.6477,23.25,22.52,23.25,23.25,1012.0,34.0,4.57,99.0,overcast clouds,1767846047.0,1767893929.0,1767834144.0
Grootfontein,-19.5667,18.1167,23.98,23.5,23.98,23.98,1011.0,41.0,3.71,17.0,few clouds,1767845797.0,1767893474.0,1767834144.0
Okakarara,-20.5833,17.4333,23.67,23.03,23.67,23.67,1012.0,36.0,4.55,28.0,scattered clouds,1767845845.0,1767893754.0,1767834144.0
Opuwo,-18.0607,13.84,21.49,20.84,21.49,21.49,1013.0,44.0,2.75,100.0,overcast clouds,1767846993.0,1767894331.0,1767834144.0
Khorixas,-20.3667,14.9667,21.05,20.28,21.05,21.05,1014.0,41.0,3.07,91.0,overcast clouds,1767846462.0,1767894321.0,1767834144.0
Katima Mulilo,-17.5,24.2667,21.88,21.79,21.88,21.88,1010.0,64.0,2.1,88.0,overcast clouds,1767844552.0,1767891766.0,1767834144.0
Kongola,9.0665,-10.1959,22.68,22.6,22.68,22.68,1013.0,61.0,0.65,63.0,broken clouds,1767855512.0,1767897353.0,1767834145.0
Rundu,-17.9333,19.7667,24.52,24.25,24.52,24.52,1009.0,47.0,1.81,100.0,overcast clouds,1767845584.0,1767892895.0,1767834145.0
Otjiwarongo,-20.4637,16.6477,23.25,22.52,23.25,23.25,1012.0,34.0,4.57,99.0,overcast clouds,1767846047.0,1767893929.0,1767834144.0
Mariental,-24.6333,17.9667,27.15,26.24,27.15,27.15,1011.0,22.0,5.32,0.0,clear sky,1767845234.0,1767894109.0,1767834145.0
Rehoboth,-23.3167,17.0833,23.9,23.39,23.9,23.9,1013.0,40.0,2.23,5.0,clear sky,1767845607.0,1767894160.0,1767834145.0
Gibeon,37.9724,-76.6197,6.58,5.06,5.88,9.21,1016.0,76.0,2.16,0.0,clear sky,1767788559.0,1767823348.0,1767834145.0
Keetmanshoop,-26.5833,18.1333,24.58,23.98,24.58,24.58,1012.0,34.0,3.68,0.0,clear sky,1767844949.0,1767894314.0,1767834145.0
Lüderitz,-26.6481,15.1594,18.65,18.42,18.65,18.65,1012.0,71.0,3.86,0.0,clear sky,1767845655.0,1767895036.0,1767834145.0
Oranjemund,-28.55,16.4333,16.59,16.63,16.59,16.59,1015.0,89.0,3.45,0.0,clear sky,1767845100.0,1767894979.0,1767834145.0
Karasburg,-28.0167,18.75,21.6,20.76,21.6,21.6,1013.0,36.0,4.55,0.0,clear sky,1767844614.0,1767894352.0,1767834145.0
Gobabis,-22.45,18.9667,24.28,23.89,24.28,24.28,1011.0,43.0,0.82,7.0,clear sky,1767845258.0,1767893605.0,1767834145.0
Leonardville,39.3644,-96.8589,10.94,9.34,10.94,12.69,1005.0,48.0,3.87,100.0,overcast clouds,1767793647.0,1767827977.0,1767834145.0
Witvlei,-22.4,18.4833,24.21,23.89,24.21,24.21,1012.0,46.0,3.79,5.0,clear sky,1767845380.0,1767893715.0,1767834145.0
0537,,,,,,,,,,,,,,
939,,,,,,,,,,,,,,
Windhoek,-22.5594,17.0832,21.9,21.37,21.9,21.9,1014.0,47.0,3.07,8.0,clear sky,1767845697.0,1767894070.0,1767837677.0
Swakopmund,-22.6833,14.5333,19.43,19.78,19.43,19.43,1013.0,90.0,1.34,9.0,clear sky,1767846295.0,1767894696.0,1767837698.0
Walvis Bay,-22.9575,14.5053,18.78,19.01,18.78,18.78,1013.0,88.0,1.51,3.0,clear sky,1767846269.0,1767894736.0,1767837698.0
Arandis,-22.4167,14.9667,19.2,19.03,19.2,19.2,1013.0,71.0,1.57,10.0,clear sky,1767846222.0,1767894561.0,1767837645.0
Usakos,-22.0,15.6,23.0,22.22,23.0,23.0,1013.0,33.0,0.62,51.0,broken clouds,1767846120.0,1767894359.0,1767837733.0
Omaruru,-21.4333,15.9333,23.14,22.27,23.14,23.14,1013.0,29.0,1.6,73.0,broken clouds,1767846106.0,1767894213.0,1767837733.0
Henties Bay,-22.116,14.2845,18.83,19.09,18.83,18.83,1013.0,89.0,1.89,17.0,few clouds,1767846422.0,1767894689.0,1767837734.0
Oshakati,-17.7833,15.6833,24.51,23.88,24.51,24.51,1011.0,33.0,5.36,100.0,overcast clouds,1767846581.0,1767893858.0,1767837734.0
Ongwediva,-17.7833,15.7667,24.48,23.85,24.48,24.48,1011.0,33.0,5.24,99.0,overcast clouds,1767846561.0,1767893838.0,1767837734.0
Ompundja,-17.9115,15.7014,24.66,24.02,24.66,24.66,1011.0,32.0,5.48,100.0,overcast clouds,1767846563.0,1767893868.0,1767837734.0
Eenhana,-17.4667,16.3333,21.99,21.13,21.99,21.99,1011.0,34.0,3.21,35.0,scattered clouds,1767846460.0,1767893667.0,1767837734.0
Helao Nafidi,-17.4247,15.8925,23.49,22.78,23.49,23.49,1011.0,34.0,4.11,22.0,few clouds,1767846570.0,1767893768.0,1767837734.0
Tsandi,-17.7463,14.8866,23.72,23.11,23.72,23.72,1012.0,37.0,4.02,44.0,scattered clouds,1767846776.0,1767894045.0,1767837734.0
Okahao,-17.885,15.0667,23.79,23.14,23.79,23.79,1012.0,35.0,4.82,89.0,overcast clouds,1767846718.0,1767894017.0,1767837734.0
Tsumeb,-19.2333,17.7167,24.34,23.85,24.34,24.34,1010.0,39.0,4.16,42.0,scattered clouds,1767845931.0,1767893532.0,1767837721.0
Oniipa,-17.9141,16.0424,24.24,23.56,24.24,24.24,1011.0,32.0,5.37,94.0,overcast clouds,1767846480.0,1767893786.0,1767837734.0
Otjiwarongo,-20.4637,16.6477,22.96,22.23,22.96,22.96,1012.0,35.0,4.32,99.0,overcast clouds,1767846047.0,1767893929.0,1767837711.0
Grootfontein,-19.5667,18.1167,23.22,22.54,23.22,23.22,1011.0,36.0,4.76,25.0,scattered clouds,1767845797.0,1767893474.0,1767837734.0
Okakarara,-20.5833,17.4333,22.77,22.12,22.77,22.77,1012.0,39.0,4.03,19.0,few clouds,1767845845.0,1767893754.0,1767837734.0
Opuwo,-18.0607,13.84,21.06,20.4,21.06,21.06,1013.0,45.0,2.61,100.0,overcast clouds,1767846993.0,1767894331.0,1767837734.0
Khorixas,-20.3667,14.9667,20.55,19.76,20.55,20.55,1014.0,42.0,1.88,95.0,overcast clouds,1767846462.0,1767894321.0,1767837734.0
Katima Mulilo,-17.5,24.2667,21.96,21.91,21.96,21.96,1010.0,65.0,2.31,76.0,broken clouds,1767844552.0,1767891766.0,1767837734.0
Kongola,9.0665,-10.1959,22.11,22.05,22.11,22.11,1013.0,64.0,0.67,74.0,broken clouds,1767855512.0,1767897353.0,1767837735.0
Rundu,-17.9333,19.7667,23.54,23.28,23.54,23.54,1009.0,51.0,1.47,100.0,overcast clouds,1767845584.0,1767892895.0,1767837735.0
Otjiwarongo,-20.4637,16.6477,22.96,22.23,22.96,22.96,1012.0,35.0,4.32,99.0,overcast clouds,1767846047.0,1767893929.0,1767837711.0
Mariental,-24.6333,17.9667,26.19,26.19,26.19,26.19,1011.0,22.0,4.6,0.0,clear sky,1767845234.0,1767894109.0,1767837735.0
Rehoboth,-23.3167,17.0833,23.46,22.93,23.46,23.46,1013.0,41.0,1.49,5.0,clear sky,1767845607.0,1767894160.0,1767837735.0
Gibeon,37.9724,-76.6197,5.39,3.7,5.33,6.03,1016.0,79.0,2.12,0.0,clear sky,1767788559.0,1767823348.0,1767837735.0
Keetmanshoop,-26.5833,18.1333,23.8,23.2,23.8,23.8,1012.0,37.0,3.19,0.0,clear sky,1767844949.0,1767894314.0,1767837735.0
Lüderitz,-26.6481,15.1594,18.4,18.12,18.4,18.4,1012.0,70.0,4.09,0.0,clear sky,1767845655.0,1767895036.0,1767837735.0
Oranjemund,-28.55,16.4333,16.4,16.45,16.4,16.4,1014.0,90.0,3.49,0.0,clear sky,1767845100.0,1767894979.0,1767837735.0
Karasburg,-28.0167,18.75,20.94,20.11,20.94,20.94,1013.0,39.0,3.88,0.0,clear sky,1767844614.0,1767894352.0,1767837735.0
Gobabis,-22.45,18.9667,23.75,23.33,23.75,23.75,1011.0,44.0,0.45,9.0,clear sky,1767845258.0,1767893605.0,1767837735.0
Leonardville,39.3644,-96.8589,9.58,7.72,7.54,10.47,1005.0,52.0,3.53,84.0,broken clouds,1767793647.0,1767827977.0,1767837735.0
Witvlei,-22.4,18.4833,23.78,23.31,23.78,23.78,1012.0,42.0,3.59,7.0,clear sky,1767845380.0,1767893715.0,1767837735.0
715,1767834145.0,,,,,,,,,,,,,
0537,,,,,,,,,,,,,,
939,,,,,,,,,,,,,,
Windhoek,-22.5594,17.0832,21.9,21.35,21.9,21.9,1014.0,46.0,2.24,9.0,clear sky,1767845697.0,1767894070.0,1767841246.0
Swakopmund,-22.6833,14.5333,19.43,19.78,19.43,19.43,1013.0,90.0,1.34,12.0,few clouds,1767846295.0,1767894696.0,1767841334.0
Walvis Bay,-22.9575,14.5053,19.53,19.84,19.53,19.53,1013.0,88.0,2.06,6.0,clear sky,1767846269.0,1767894736.0,1767841232.0
Arandis,-22.4167,14.9667,18.59,18.49,18.59,18.59,1013.0,76.0,1.33,12.0,few clouds,1767846222.0,1767894561.0,1767841246.0
Usakos,-22.0,15.6,23.6,22.8,23.6,23.6,1013.0,30.0,0.52,67.0,broken clouds,1767846120.0,1767894359.0,1767841334.0
Omaruru,-21.4333,15.9333,23.2,22.28,23.2,23.2,1013.0,27.0,1.66,82.0,broken clouds,1767846106.0,1767894213.0,1767841200.0
Henties Bay,-22.116,14.2845,18.68,18.95,18.68,18.68,1013.0,90.0,2.13,15.0,few clouds,1767846422.0,1767894689.0,1767841334.0
Oshakati,-17.7833,15.6833,23.87,23.23,23.87,23.87,1012.0,35.0,4.81,97.0,overcast clouds,1767846581.0,1767893858.0,1767841208.0
Ongwediva,-17.7833,15.7667,23.87,23.2,23.87,23.87,1012.0,34.0,4.66,99.0,overcast clouds,1767846561.0,1767893838.0,1767841314.0
Ompundja,-17.9115,15.7014,24.01,23.35,24.01,24.01,1012.0,34.0,4.87,98.0,overcast clouds,1767846563.0,1767893868.0,1767841334.0
Eenhana,-17.4667,16.3333,20.9,20.04,20.9,20.9,1012.0,38.0,3.02,47.0,scattered clouds,1767846460.0,1767893667.0,1767841334.0
Helao Nafidi,-17.4247,15.8925,22.65,21.91,22.65,22.65,1012.0,36.0,3.86,41.0,scattered clouds,1767846570.0,1767893768.0,1767841334.0
Tsandi,-17.7463,14.8866,23.07,22.42,23.07,23.07,1012.0,38.0,3.89,63.0,broken clouds,1767846776.0,1767894045.0,1767841334.0
Okahao,-17.885,15.0667,23.13,22.46,23.13,23.13,1012.0,37.0,4.26,93.0,overcast clouds,1767846718.0,1767894017.0,1767841335.0
Tsumeb,-19.2333,17.7167,23.9,23.23,23.9,23.9,1010.0,34.0,4.78,33.0,scattered clouds,1767845931.0,1767893532.0,1767841204.0
Oniipa,-17.9141,16.0424,23.53,22.8,23.53,23.53,1011.0,33.0,4.57,96.0,overcast clouds,1767846480.0,1767893786.0,1767841335.0
Otjiwarongo,-20.4637,16.6477,22.16,21.35,22.16,22.16,1013.0,35.0,3.68,91.0,overcast clouds,1767846047.0,1767893929.0,1767841212.0
Grootfontein,-19.5667,18.1167,22.45,21.74,22.45,22.45,1011.0,38.0,4.17,24.0,few clouds,1767845797.0,1767893474.0,1767841335.0
Okakarara,-20.5833,17.4333,22.14,21.48,22.14,22.14,1012.0,41.0,4.2,17.0,few clouds,1767845845.0,1767893754.0,1767841335.0
Opuwo,-18.0607,13.84,20.63,19.95,20.63,20.63,1013.0,46.0,2.26,82.0,broken clouds,1767846993.0,1767894331.0,1767841335.0
Khorixas,-20.3667,14.9667,20.24,19.44,20.24,20.24,1014.0,43.0,1.31,67.0,broken clouds,1767846462.0,1767894321.0,1767841208.0
Katima Mulilo,-17.5,24.2667,21.03,21.02,21.03,21.03,1010.0,70.0,2.0,58.0,broken clouds,1767844552.0,1767891766.0,1767841335.0
Kongola,9.0665,-10.1959,21.64,21.58,21.64,21.64,1013.0,66.0,0.53,80.0,broken clouds,1767855512.0,1767897353.0,1767841335.0
