city,lat,lon,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,clouds,weather,sunrise,sunset,timestamp
Windhoek,-22.5594,17.0832,21.27,20.73,21.27,21.27,1014,49,2.57,73,broken clouds,1767845697,1767894070,1767826838
Swakopmund,-22.6833,14.5333,18.88,19.2,18.88,18.88,1014,91,2.24,11,few clouds,1767846295,1767894696,1767826936
Walvis Bay,-22.9575,14.5053,18.84,19.1,18.84,18.84,1014,89,3.1,30,scattered clouds,1767846269,1767894736,1767826937
Arandis,-22.4167,14.9667,20.06,19.87,20.06,20.06,1014,67,1.17,2,clear sky,1767846222,1767894561,1767826937
Usakos,-22.0,15.6,23.05,22.32,23.05,23.05,1015,35,2.22,5,clear sky,1767846120,1767894359,1767826937
Omaruru,-21.4333,15.9333,24.2,23.49,24.2,24.2,1014,31,2.37,50,scattered clouds,1767846106,1767894213,1767826937
Henties Bay,-22.116,14.2845,19.09,19.4,19.09,19.09,1015,90,2.01,18,few clouds,1767846422,1767894689,1767826937
Oshakati,-17.7833,15.6833,26.63,26.63,26.63,26.63,1011,29,8.23,48,scattered clouds,1767846581,1767893858,1767826937
Ongwediva,-17.7833,15.7667,26.67,26.18,26.67,26.67,1011,29,8.27,44,scattered clouds,1767846561,1767893838,1767826937
Ompundja,-17.9115,15.7014,26.95,26.31,26.95,26.95,1011,28,7.84,50,scattered clouds,1767846563,1767893868,1767826937
Eenhana,-17.4667,16.3333,24.45,23.73,24.45,24.45,1011,30,3.44,20,few clouds,1767846460,1767893667,1767826937
Helao Nafidi,-17.4247,15.8925,25.9,25.38,25.9,25.9,1011,32,6.38,45,scattered clouds,1767846570,1767893768,1767826937
Tsandi,-17.7463,14.8866,26.13,26.13,26.13,26.13,1012,34,5.44,68,broken clouds,1767846776,1767894045,1767826937
Okahao,-17.885,15.0667,25.94,25.43,25.94,25.94,1012,32,5.85,49,scattered clouds,1767846718,1767894017,1767826937
Tsumeb,-19.2333,17.7167,25.87,25.5,25.87,25.87,1011,38,5.35,74,broken clouds,1767845931,1767893532,1767826938
Oniipa,-17.9141,16.0424,26.99,26.27,26.99,26.99,1011,26,8.74,38,scattered clouds,1767846480,1767893786,1767826938
Otjiwarongo,-20.4637,16.6477,22.69,21.8,22.69,22.69,1014,30,3.87,47,scattered clouds,1767846047,1767893929,1767826938
Grootfontein,-19.5667,18.1167,25.61,25.27,25.61,25.61,1011,40,1.63,92,overcast clouds,1767845797,1767893474,1767826938
Okakarara,-20.5833,17.4333,25.01,24.32,25.01,25.01,1012,29,5.53,71,broken clouds,1767845845,1767893754,1767826879
Opuwo,-18.0607,13.84,22.43,21.83,22.43,22.43,1015,42,2.61,76,broken clouds,1767846993,1767894331,1767826938
Khorixas,-20.3667,14.9667,21.51,20.71,21.51,21.51,1015,38,4.21,17,few clouds,1767846462,1767894321,1767826938
Katima Mulilo,-17.5,24.2667,22.59,22.39,22.59,22.59,1010,57,1.43,58,broken clouds,1767844552,1767891766,1767826938
Kongola,9.0665,-10.1959,23.0,23.18,23.0,23.0,1014,70,1.15,98,overcast clouds,1767769093,1767810922,1767826938
Rundu,-17.9333,19.7667,24.6,24.06,24.6,24.6,1010,36,2.22,99,overcast clouds,1767845584,1767892895,1767826938
Otjiwarongo,-20.4637,16.6477,22.69,21.8,22.69,22.69,1014,30,3.87,47,scattered clouds,1767846047,1767893929,1767826938
Mariental,-24.6333,17.9667,28.42,27.12,28.42,28.42,1011,23,5.43,10,clear sky,1767845234,1767894109,1767826938
Rehoboth,-23.3167,17.0833,24.71,24.2,24.71,24.71,1013,37,4.47,71,broken clouds,1767845607,1767894160,1767826938
Gibeon,37.9724,-76.6197,10.37,9.21,8.66,12.08,1013,67,2.05,19,few clouds,1767788559,1767823348,1767826938
Keetmanshoop,-26.5833,18.1333,26.84,26.18,26.84,26.84,1012,26,3.8,0,clear sky,1767844949,1767894314,1767826938
Lüderitz,-26.6481,15.1594,18.76,18.65,18.76,18.76,1013,75,5.65,0,clear sky,1767845655,1767895036,1767826939
Oranjemund,-28.55,16.4333,16.66,16.71,16.66,16.66,1015,89,2.13,1,clear sky,1767845100,1767894979,1767826939
Karasburg,-28.0167,18.75,23.26,22.53,23.26,23.26,1013,34,4.51,0,clear sky,1767844614,1767894352,1767826939
Gobabis,-22.45,18.9667,25.0,24.65,25.0,25.0,1012,42,1.78,24,few clouds,1767845258,1767893605,1767826939
Leonardville,39.3644,-96.8589,15.24,13.73,14.2,16.34,1005,35,4.14,53,broken clouds,1767793647,1767827977,1767826939
Witvlei,-22.4,18.4833,25.67,25.36,25.67,25.67,1012,41,3.69,50,scattered clouds,1767845380,1767893715,1767826939
