city,lat,lon,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,clouds,weather,sunrise,sunset,timestamp
Windhoek,-22.5594,17.0832,28.27,27.01,28.27,29.68,1008,23,1.54,20,few clouds,1767672816,1767721249,1767717374
Swakopmund,-22.6833,14.5333,21.66,21.94,21.66,21.66,1012,79,3.13,94,overcast clouds,1767673413,1767721876,1767717580
Walvis Bay,-22.9575,14.5053,20.68,20.61,20.68,20.68,1012,69,5.79,48,scattered clouds,1767673387,1767721916,1767717580
Arandis,-22.4167,14.9667,21.62,21.2,21.62,21.62,1012,52,5.29,94,overcast clouds,1767673341,1767721740,1767717581
Usakos,-22.0,15.6,27.3,26.74,27.3,27.3,1010,33,8.81,85,overcast clouds,1767673239,1767721538,1767717581
Omaruru,-21.4333,15.9333,29.12,27.47,29.12,29.12,1009,16,7.34,6,clear sky,1767673226,1767721391,1767717582
Henties Bay,-22.116,14.2845,19.83,19.91,19.83,19.83,1013,78,4.84,90,overcast clouds,1767673541,1767721868,1767717582
Oshakati,-17.7833,15.6833,31.1,29.84,31.1,31.1,1007,30,2.6,53,broken clouds,1767673707,1767721030,1767717582
Ongwediva,-17.7833,15.7667,30.86,29.59,30.86,30.86,1007,30,2.38,52,broken clouds,1767673687,1767721010,1767717583
Ompundja,-17.9115,15.7014,31.22,29.87,31.22,31.22,1007,29,0.77,30,scattered clouds,1767673688,1767721040,1767717583
Eenhana,-17.4667,16.3333,28.97,28.25,28.97,28.97,1007,36,2.93,50,scattered clouds,1767673586,1767720839,1767717584
Helao Nafidi,-17.4247,15.8925,29.51,28.68,29.51,29.51,1007,35,2.08,76,broken clouds,1767673696,1767720940,1767717585
Tsandi,-17.7463,14.8866,30.27,29.09,30.27,30.27,1007,31,3.92,62,broken clouds,1767673902,1767721218,1767717588
Okahao,-17.885,15.0667,30.97,29.61,30.97,30.97,1007,29,3.9,65,broken clouds,1767673843,1767721190,1767717589
Tsumeb,-19.2333,17.7167,27.88,27.06,27.88,27.88,1009,31,3.99,0,clear sky,1767673054,1767720707,1767717591
Oniipa,-17.9141,16.0424,29.52,28.61,29.52,29.52,1008,34,1.33,24,few clouds,1767673606,1767720959,1767717594
Otjiwarongo,-20.4637,16.6477,28.31,26.86,28.31,28.31,1009,14,4.56,0,clear sky,1767673169,1767721105,1767717595
Grootfontein,-19.5667,18.1167,29.76,28.24,29.76,29.76,1009,25,3.09,0,clear sky,1767672920,1767720649,1767717597
Okakarara,-20.5833,17.4333,30.09,28.21,30.09,30.09,1007,15,4.83,0,clear sky,1767672966,1767720931,1767717598
Opuwo,-18.0607,13.84,27.63,26.92,27.63,27.63,1009,32,8.4,55,broken clouds,1767674118,1767721504,1767717600
Khorixas,-20.3667,14.9667,29.4,27.68,29.4,29.4,1009,15,7.63,1,clear sky,1767673584,1767721498,1767717602
Katima Mulilo,-17.5,24.2667,25.33,25.33,25.33,25.33,1008,54,2.55,60,broken clouds,1767671677,1767718938,1767717606
Kongola,9.0665,-10.1959,31.42,30.75,31.42,31.42,1008,35,0.71,79,broken clouds,1767682672,1767724491,1767717608
Rundu,-17.9333,19.7667,27.7,26.72,27.7,27.7,1007,26,1.79,16,few clouds,1767672709,1767720067,1767717611
Mariental,-24.6333,17.9667,32.69,30.34,32.69,32.69,1007,11,2.91,64,broken clouds,1767672349,1767721291,1767717625
Rehoboth,-23.3167,17.0833,31.19,29.09,31.19,31.19,1007,14,5.39,77,broken clouds,1767672724,1767721341,1767717628
Gibeon,37.9724,-76.6197,10.36,9.44,9.5,11.44,1012,76,3.92,100,overcast clouds,1767702162,1767736894,1767717631
Keetmanshoop,-26.5833,18.1333,31.4,29.26,31.4,31.4,1008,13,7.15,14,few clouds,1767672061,1767721500,1767717635
Lüderitz,-26.6481,15.1594,22.48,22.56,22.48,22.48,1011,68,10.48,9,clear sky,1767672767,1767722222,1767717636
Oranjemund,-28.55,16.4333,20.93,21.25,20.93,20.93,1013,83,6.36,2,clear sky,1767672209,1767722168,1767717637
Karasburg,-28.0167,18.75,29.87,28.08,29.87,29.87,1009,18,7.15,1,clear sky,1767671724,1767721541,1767717637
Gobabis,-22.45,18.9667,31.59,29.44,31.59,31.59,1006,15,3.81,21,few clouds,1767672377,1767720784,1767717605
Leonardville,39.3644,-96.8589,8.65,5.87,7.34,8.65,1012,57,5.07,44,scattered clouds,1767707252,1767741521,1767717639
Witvlei,-22.4,18.4833,31.09,29.04,31.09,31.09,1007,16,3.96,7,clear sky,1767672499,1767720894,1767717640
