city,lat,lon,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,clouds,weather,sunrise,sunset,timestamp
Windhoek,-22.5594,17.0832,15.27,14.6,15.27,19.12,1011,67,2.24,1,clear sky,1767672816,1767721249,1767657624
Swakopmund,-22.6833,14.5333,19.43,19.57,19.43,19.43,1012,82,2.24,25,scattered clouds,1767673413,1767721876,1767657625
Walvis Bay,-22.9575,14.5053,18.01,18.09,18.01,18.01,1012,85,3.72,10,clear sky,1767673387,1767721916,1767657625
Arandis,-22.4167,14.9667,16.25,16.07,16.25,16.25,1012,82,0.98,16,few clouds,1767673341,1767721740,1767657625
Usakos,-22.0,15.6,17.34,16.96,17.34,17.34,1012,70,1.64,1,clear sky,1767673239,1767721538,1767657626
Omaruru,-21.4333,15.9333,17.85,17.07,17.85,17.85,1012,53,1.98,0,clear sky,1767673226,1767721391,1767657626
Henties Bay,-22.116,14.2845,17.81,17.94,17.81,17.81,1013,88,2.42,8,clear sky,1767673541,1767721868,1767657626
Oshakati,-17.7833,15.6833,23.03,22.2,23.03,23.03,1010,31,5.46,3,clear sky,1767673707,1767721030,1767657627
Ongwediva,-17.7833,15.7667,23.03,22.2,23.03,23.03,1010,31,5.44,5,clear sky,1767673687,1767721010,1767657627
Ompundja,-17.9115,15.7014,22.93,22.14,22.93,22.93,1010,33,5.33,1,clear sky,1767673688,1767721040,1767657627
Eenhana,-17.4667,16.3333,20.62,19.44,20.62,20.62,1010,27,2.84,12,few clouds,1767673586,1767720839,1767657628
Helao Nafidi,-17.4247,15.8925,22.47,21.61,22.47,22.47,1010,32,3.35,9,clear sky,1767673696,1767720940,1767657628
Tsandi,-17.7463,14.8866,21.59,20.72,21.59,21.59,1011,35,2.7,1,clear sky,1767673902,1767721218,1767657629
Okahao,-17.885,15.0667,21.95,21.09,21.95,21.95,1011,34,3.91,0,clear sky,1767673843,1767721190,1767657630
Tsumeb,-19.2333,17.7167,19.67,18.42,19.67,19.67,1010,28,4.48,0,clear sky,1767673054,1767720707,1767657630
Oniipa,-17.9141,16.0424,22.76,21.9,22.76,22.76,1010,31,4.76,11,few clouds,1767673606,1767720959,1767657631
Otjiwarongo,-20.4637,16.6477,16.47,15.43,16.47,16.47,1012,48,3.04,0,clear sky,1767673169,1767721105,1767657631
Grootfontein,-19.5667,18.1167,14.76,13.81,14.76,14.76,1010,58,1.54,0,clear sky,1767672920,1767720649,1767657632
Okakarara,-20.5833,17.4333,18.98,17.98,18.98,18.98,1011,40,3.73,0,clear sky,1767672966,1767720931,1767657632
Opuwo,-18.0607,13.84,18.74,17.77,18.74,18.74,1012,42,2.44,1,clear sky,1767674118,1767721504,1767657632
Khorixas,-20.3667,14.9667,17.33,16.63,17.33,17.33,1012,58,2.9,0,clear sky,1767673584,1767721498,1767657633
Katima Mulilo,-17.5,24.2667,18.59,18.88,18.59,18.59,1009,91,1.93,98,overcast clouds,1767671677,1767718938,1767657633
Kongola,9.0665,-10.1959,21.14,21.63,21.14,21.14,1014,89,2.22,100,overcast clouds,1767682672,1767724491,1767657634
Rundu,-17.9333,19.7667,20.42,19.2,20.42,20.42,1008,26,2.19,0,clear sky,1767672709,1767720067,1767657342
Mariental,-24.6333,17.9667,21.15,20.34,21.15,21.15,1010,39,9.34,13,few clouds,1767672349,1767721291,1767657636
Rehoboth,-23.3167,17.0833,20.55,19.73,20.55,20.55,1010,41,3.59,9,clear sky,1767672724,1767721341,1767657636
Gibeon,37.9724,-76.6197,5.93,3.65,4.77,6.49,1018,73,2.96,100,overcast clouds,1767615763,1767650441,1767657636
Keetmanshoop,-26.5833,18.1333,18.54,17.7,18.54,18.54,1011,48,5.41,3,clear sky,1767672061,1767721500,1767657637
Lüderitz,-26.6481,15.1594,17.19,17.24,17.19,17.19,1011,87,3.94,39,scattered clouds,1767672767,1767722222,1767657637
Oranjemund,-28.55,16.4333,17.39,17.72,17.39,17.39,1012,97,0.73,75,broken clouds,1767672209,1767722168,1767657637
Karasburg,-28.0167,18.75,15.32,14.63,15.32,15.32,1011,66,5.53,39,scattered clouds,1767671724,1767721541,1767657638
Gobabis,-22.45,18.9667,23.22,22.2,23.22,23.22,1008,23,3.51,0,clear sky,1767672377,1767720784,1767657638
Leonardville,39.3644,-96.8589,8.78,6.7,8.72,11.34,1003,78,3.61,94,overcast clouds,1767620854,1767655067,1767657638
Witvlei,-22.4,18.4833,21.59,20.67,21.59,21.59,1009,33,7.8,0,clear sky,1767672499,1767720894,1767657639
